SKU,NAME,ISDEFAULT,HASH,URL
AADHC1802P,AADHC1802P_4.jpg,0,58962209c74321196eddc5173acbaa7863a770de,https://s3.amazonaws.com/hydrofarm_pubimages/AADHC1802P_4.jpg
AADHC1802P,AADHC1802P_5.jpg,0,de44615a2d08334ade71ccac212d4ed63ff3bb72,https://s3.amazonaws.com/hydrofarm_pubimages/AADHC1802P_5.jpg
AADHC1802P,AADHC1802P_6.jpg,0,7968b7289a2e2ce66d1146bb238a2976cc629e48,https://s3.amazonaws.com/hydrofarm_pubimages/AADHC1802P_6.jpg
AADHC60P,AADHC60P_1.jpg,1,073b0b0771f3b9c06697a11b53d1211ea4774b2a,https://s3.amazonaws.com/hydrofarm_pubimages/AADHC60P_1.jpg
AAEFBK2,AAEFBK2_1.jpg,1,343763f6b7877ad186f673100d53da45acc03b68,https://s3.amazonaws.com/hydrofarm_pubimages/AAEFBK2_1.jpg
AAEFBK3,AAEFBK3_1.jpg,1,9d67e6f56944fc3193bb0109dab2612b801307c2,https://s3.amazonaws.com/hydrofarm_pubimages/AAEFBK3_1.jpg
AAEFBK4,AAEFBK4_1.jpg,1,bad69746934a7fc4c11f10b174ec8abebce64eb9,https://s3.amazonaws.com/hydrofarm_pubimages/AAEFBK4_1.jpg
AAEFEX1,AAEFEX1_1.jpg,1,f93522ccb4741c8d1ba57e8322061c240860a78b,https://s3.amazonaws.com/hydrofarm_pubimages/AAEFEX1_1.jpg
AAEFSC1,AAEFSC1_1.jpg,1,854573ec13aad78fb79a53bca7e9c041e6353d7b,https://s3.amazonaws.com/hydrofarm_pubimages/AAEFSC1_1.jpg
AAEFWA1,AAEFWA1_1.jpg,1,e6cd97035794ed78fa7bd71d98c92b15106010a1,https://s3.amazonaws.com/hydrofarm_pubimages/AAEFWA1_1.jpg
AAEL100,AAEL100_1.jpg,1,a947f22ebd886597375ee8015df71c7aea3847f9,https://s3.amazonaws.com/hydrofarm_pubimages/AAEL100_1.jpg
AAEL50,AAEL50_1.jpg,1,46916aa3b3ecf4b0485ac3ed77cb252f15eefbad,https://s3.amazonaws.com/hydrofarm_pubimages/AAEL50_1.jpg
AAEL75,AAEL75_1.jpg,1,a947f22ebd886597375ee8015df71c7aea3847f9,https://s3.amazonaws.com/hydrofarm_pubimages/AAEL75_1.jpg
