ItemID,ItemNumber,ItemNumber_old,Description,Short_Desc,BrandID,Brand,CategoryID,Category,Each_Barcode,Origin_Country,img_filename,logo_filename,DateAdded,InCatalog,HF_UOM,SRP,CaseSRP,ProductFeatureA,ProductFeatureB,ProductFeatureC,ProductFeatureD,ProductFeatureE
15936,AAEFBK3,,ActiveAqua 3/4 inch  Fill/Drain Fit,ActiveAqua 3/4 inch  Fill/Drain Fit,87,Active Aqua,7,Hydro Components,1.06E+13,CHINA,AAEFBK3.jpg,15018_ActiveAqualLOGO.jpg,1/8/2014,Y,EACH,18.95,18.95,Three-quarter inch fill and drain fitting,This fitting is commonly used to transfer nutrient solution between the flood table and the reservoir in flood & drain hydroponic systems,Rugged plastic construction,,
15937,AAEFBK4,,Active Aqua 1 inch  Fill/Drain Fit,Active Aqua 1 inch  Fill/Drain Fit,87,Active Aqua,7,Hydro Components,1.06E+13,CHINA,AAEFBK4.jpg,15018_ActiveAqualLOGO.jpg,1/8/2014,Y,EACH,19.95,19.95,Half-inch fill and drain fitting,This fitting is commonly used to transfer nutrient solution between the flood table and the reservoir in flood & drain hydroponic systems,Rugged plastic construction,,
15933,AAEFEX1,,Active Aqua Extension Fitting,Active Aqua Extension Fitting,87,Active Aqua,7,Hydro Components,1.06E+13,CHINA,AAEFEX1.jpg,15018_ActiveAqualLOGO.jpg,1/8/2014,Y,EACH,5.95,5.95,Extension fitting,This fitting allows you to raise the fill/drain level in a flood & drain hydroponic system,Use to set the proper fill level when using taller containers,,
15934,AAEFSC1,,Active Aqua Screen Fitting,Active Aqua Screen Fitting,87,Active Aqua,7,Hydro Components,1.06E+13,CHINA,AAEFSC1.jpg,15018_ActiveAqualLOGO.jpg,1/8/2014,Y,EACH,5.95,5.95,Screen fitting for flood table,Screened design allows nutrient solution to flow freely while preventing growing media from getting into the pump and reservoir,Rugged plastic construction,,
15931,AAEFWA1,,Active Aqua Washer Fitting,Active Aqua Washer Fitting,87,Active Aqua,7,Hydro Components,1.06E+13,CHINA,AAEFWA1.jpg,15018_ActiveAqualLOGO.jpg,1/8/2014,Y,EACH,3.95,3.95,Washer fitting for flood tables,Goes between the threaded flood table fitting and the table itself when assembling a flood/drain hydroponic system,Helps to assure a leak-free connection between the two components,,
13049,AAEL100,,1 inch  Elbow Connector,1 inch  Elbow Connector,87,Active Aqua,12,Pumps & Irrigation,6.38E+11,CHINA,AAEL100.jpg,15018_ActiveAqualLOGO.jpg,9/15/2011,Y,CASE,0.97,9.65,,,,,
13051,AAEL50,,1/2 inch  Elbow Connector,1/2 inch  Elbow Connector,87,Active Aqua,12,Pumps & Irrigation,6.38E+11,CHINA,AAEL50.jpg,15018_ActiveAqualLOGO.jpg,9/15/2011,Y,CASE,0.36,3.55,,,,,
13050,AAEL75,,3/4 inch  Elbow Connectors,3/4 inch  Elbow Connectors,87,Active Aqua,12,Pumps & Irrigation,6.38E+11,CHINA,AAEL75.jpg,15018_ActiveAqualLOGO.jpg,9/15/2011,Y,CASE,0.75,7.5,,,,,
16835,AAHR22W,,Flood Table 2x2 Premium White,Flood Table 2x2 Premium White,87,Active Aqua,7,Hydro Components,6.38E+11,CANADA,AAHR22W.jpg,15018_ActiveAqualLOGO.jpg,9/19/2014,N,EACH,59.59,59.59,,,,,
16836,AAHR24W,,Flood Table 2x4 Premium White,Flood Table 2x4 Premium White,87,Active Aqua,7,Hydro Components,6.38E+11,CANADA,AAHR24W.jpg,15018_ActiveAqualLOGO.jpg,9/19/2014,N,EACH,81.95,81.95,,,,,
16838,AAHR33W,,Flood Table 3x3 Premium White,Flood Table 3x3 Premium White,87,Active Aqua,7,Hydro Components,6.38E+11,CANADA,AAHR33W.jpg,15018_ActiveAqualLOGO.jpg,9/19/2014,N,EACH,115.95,115.95,,,,,
16839,AAHR36W,,Flood Table 3x6 Premium White,Flood Table 3x6 Premium White,87,Active Aqua,7,Hydro Components,6.38E+11,CANADA,AAHR36W_5.jpg,15018_ActiveAqualLOGO.jpg,9/19/2014,N,EACH,187.95,187.95,,,,,
16837,AAHR44W,,Flood Table 4x4 Premium White,Flood Table 4x4 Premium White,87,Active Aqua,7,Hydro Components,6.38E+11,CANADA,AAHR44W_2.jpg,15018_ActiveAqualLOGO.jpg,9/19/2014,N,EACH,147.95,147.95,,,,,
16840,AAHR84W,,Flood Table 8x4 Premium White,Flood Table 8x4 Premium White,87,Active Aqua,7,Hydro Components,6.38E+11,CANADA,AAHR84W.jpg,15018_ActiveAqualLOGO.jpg,9/19/2014,N,EACH,279.95,279.95,,,,,
